"BehaviorSpace results (NetLogo 6.0)"
"assignment_3.25.nlogo"
"experiment"
"05/23/2017 13:50:51:734 +0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","Crack-Availability-Month","New-Version-Availability-Month","software-price","[step]","legal","illegal","loss","sales"
"1","4","20","0.99","178","0","0","0","0"
"1","4","20","0.99","179","0","0","0","0"
"1","4","20","0.99","180","0","0","0","0"
"1","4","20","0.99","181","0","0","0","0"
"1","4","20","0.99","182","0","0","0","0"
"1","4","20","0.99","183","0","0","0","0"
"1","4","20","0.99","184","0","0","0","0"
"1","4","20","0.99","185","0","0","0","0"
"1","4","20","0.99","186","0","0","0","0"
"1","4","20","0.99","187","0","0","0","0"
"1","4","20","0.99","188","0","0","0","0"
"1","4","20","0.99","189","0","0","0","0"
"1","4","20","0.99","190","0","0","0","0"
"1","4","20","0.99","191","0","0","0","0"
"1","4","20","0.99","192","0","0","0","0"
"1","4","20","0.99","193","0","0","0","0"
"1","4","20","0.99","194","0","0","0","0"
"1","4","20","0.99","195","0","0","0","0"
"1","4","20","0.99","196","0","0","0","0"
"1","4","20","0.99","197","0","0","0","0"
"1","4","20","0.99","198","0","0","0","0"
"1","4","20","0.99","199","0","0","0","0"
"1","4","20","0.99","200","2","0","0","1.98"
"1","4","20","0.99","201","2","0","0","1.98"
"1","4","20","0.99","202","3","0","0","2.9699999999999998"
"1","4","20","0.99","203","3","0","0","2.9699999999999998"
"1","4","20","0.99","204","4","0","0","3.96"
"1","4","20","0.99","205","4","0","0","3.96"
"1","4","20","0.99","206","4","0","0","3.96"
"1","4","20","0.99","207","4","0","0","3.96"
"1","4","20","0.99","208","5","0","0","4.95"
"1","4","20","0.99","209","5","0","0","4.95"
"1","4","20","0.99","210","6","0","0","5.9399999999999995"
"1","4","20","0.99","211","6","0","0","5.9399999999999995"
"1","4","20","0.99","212","6","0","0","5.9399999999999995"
"1","4","20","0.99","213","6","0","0","5.9399999999999995"
"1","4","20","0.99","214","6","0","0","5.9399999999999995"
"1","4","20","0.99","215","7","0","0","6.93"
"1","4","20","0.99","216","7","0","0","6.93"
"1","4","20","0.99","217","7","0","0","6.93"
"1","4","20","0.99","218","7","0","0","6.93"
"1","4","20","0.99","219","8","0","0","7.92"
"1","4","20","0.99","220","8","0","0","7.92"
"1","4","20","0.99","221","8","0","0","7.92"
"1","4","20","0.99","222","8","0","0","7.92"
"1","4","20","0.99","223","8","0","0","7.92"
"1","4","20","0.99","224","8","0","0","7.92"
"1","4","20","0.99","225","8","0","0","7.92"
"1","4","20","0.99","226","11","0","0","10.89"
"1","4","20","0.99","227","12","0","0","11.879999999999999"
"1","4","20","0.99","228","13","0","0","12.87"
"1","4","20","0.99","229","13","0","0","12.87"
"1","4","20","0.99","230","14","0","0","13.86"
"1","4","20","0.99","231","14","0","0","13.86"
"1","4","20","0.99","232","14","0","0","13.86"
"1","4","20","0.99","233","14","0","0","13.86"
"1","4","20","0.99","234","15","0","0","14.85"
"1","4","20","0.99","235","15","0","0","14.85"
"1","4","20","0.99","236","15","0","0","14.85"
"1","4","20","0.99","237","15","0","0","14.85"
"1","4","20","0.99","238","15","0","0","14.85"
"1","4","20","0.99","239","15","0","0","14.85"
"1","4","20","0.99","240","15","0","0","14.85"
"1","4","20","0.99","241","15","0","0","14.85"
"1","4","20","0.99","242","16","0","0","15.84"
"1","4","20","0.99","243","16","0","0","15.84"
"1","4","20","0.99","244","16","0","0","15.84"
"1","4","20","0.99","245","16","0","0","15.84"
"1","4","20","0.99","246","16","0","0","15.84"
"1","4","20","0.99","247","16","0","0","15.84"
"1","4","20","0.99","248","16","0","0","15.84"
"1","4","20","0.99","249","18","0","0","17.82"
"1","4","20","0.99","250","19","0","0","18.81"
"1","4","20","0.99","251","20","0","0","19.8"
"1","4","20","0.99","252","20","0","0","19.8"
"1","4","20","0.99","253","20","0","0","19.8"
"1","4","20","0.99","254","22","0","0","21.78"
"1","4","20","0.99","255","22","0","0","21.78"
"1","4","20","0.99","256","24","0","0","23.759999999999998"
"1","4","20","0.99","257","25","0","0","24.75"
"1","4","20","0.99","258","25","0","0","24.75"
"1","4","20","0.99","259","26","0","0","25.74"
"1","4","20","0.99","260","26","0","0","25.74"
"1","4","20","0.99","261","26","0","0","25.74"
"1","4","20","0.99","262","28","0","0","27.72"
"1","4","20","0.99","263","31","0","0","30.69"
"1","4","20","0.99","264","32","0","0","31.68"
"1","4","20","0.99","265","32","0","0","31.68"
"1","4","20","0.99","266","33","0","0","32.67"
"1","4","20","0.99","267","33","0","0","32.67"
"1","4","20","0.99","268","33","0","0","32.67"
"1","4","20","0.99","269","33","0","0","32.67"
"1","4","20","0.99","270","33","0","0","32.67"
"1","4","20","0.99","271","33","0","0","32.67"
"1","4","20","0.99","272","34","0","0","33.66"
"1","4","20","0.99","273","34","0","0","33.66"
"1","4","20","0.99","274","34","0","0","33.66"
"1","4","20","0.99","275","34","0","0","33.66"
"1","4","20","0.99","276","34","0","0","33.66"
"1","4","20","0.99","277","35","0","0","34.65"
"1","4","20","0.99","278","35","0","0","34.65"
"1","4","20","0.99","279","38","0","0","37.62"
"1","4","20","0.99","280","38","0","0","37.62"
"1","4","20","0.99","281","39","0","0","38.61"
"1","4","20","0.99","282","39","0","0","38.61"
"1","4","20","0.99","283","39","0","0","38.61"
"1","4","20","0.99","284","39","0","0","38.61"
"1","4","20","0.99","285","39","0","0","38.61"
"1","4","20","0.99","286","39","0","0","38.61"
"1","4","20","0.99","287","39","0","0","38.61"
"1","4","20","0.99","288","39","0","0","38.61"
"1","4","20","0.99","289","39","0","0","38.61"
"1","4","20","0.99","290","40","0","0","39.6"
"1","4","20","0.99","291","40","0","0","39.6"
"1","4","20","0.99","292","40","0","0","39.6"
"1","4","20","0.99","293","40","0","0","39.6"
"1","4","20","0.99","294","40","0","0","39.6"
"1","4","20","0.99","295","40","0","0","39.6"
"1","4","20","0.99","296","40","0","0","39.6"
"1","4","20","0.99","297","40","0","0","39.6"
"1","4","20","0.99","298","40","0","0","39.6"
"1","4","20","0.99","299","40","0","0","39.6"
"1","4","20","0.99","300","41","0","0","40.589999999999996"
"1","4","20","0.99","301","41","0","0","40.589999999999996"
"1","4","20","0.99","302","41","0","0","40.589999999999996"
"1","4","20","0.99","303","42","0","0","41.58"
"1","4","20","0.99","304","42","0","0","41.58"
"1","4","20","0.99","305","43","0","0","42.57"
"1","4","20","0.99","306","43","0","0","42.57"
"1","4","20","0.99","307","43","0","0","42.57"
"1","4","20","0.99","308","43","0","0","42.57"
"1","4","20","0.99","309","43","0","0","42.57"
"1","4","20","0.99","310","43","0","0","42.57"
"1","4","20","0.99","311","44","0","0","43.56"
"1","4","20","0.99","312","44","0","0","43.56"
"1","4","20","0.99","313","44","0","0","43.56"
"1","4","20","0.99","314","44","0","0","43.56"
"1","4","20","0.99","315","45","0","0","44.55"
"1","4","20","0.99","316","45","0","0","44.55"
"1","4","20","0.99","317","45","0","0","44.55"
"1","4","20","0.99","318","45","0","0","44.55"
"1","4","20","0.99","319","46","0","0","45.54"
"1","4","20","0.99","320","46","0","0","45.54"
"1","4","20","0.99","321","47","0","0","46.53"
"1","4","20","0.99","322","47","0","0","46.53"
"1","4","20","0.99","323","48","0","0","47.519999999999996"
"1","4","20","0.99","324","48","0","0","47.519999999999996"
"1","4","20","0.99","325","48","0","0","47.519999999999996"
"1","4","20","0.99","326","49","0","0","48.51"
"1","4","20","0.99","327","49","0","0","48.51"
"1","4","20","0.99","328","49","0","0","48.51"
"1","4","20","0.99","329","50","0","0","49.5"
"1","4","20","0.99","330","50","0","0","49.5"
"1","4","20","0.99","331","50","0","0","49.5"
"1","4","20","0.99","332","50","0","0","49.5"
"1","4","20","0.99","333","50","0","0","49.5"
"1","4","20","0.99","334","51","0","0","50.49"
"1","4","20","0.99","335","52","0","0","51.48"
"1","4","20","0.99","336","52","0","0","51.48"
"1","4","20","0.99","337","53","0","0","52.47"
"1","4","20","0.99","338","54","0","0","53.46"
"1","4","20","0.99","339","55","0","0","54.45"
"1","4","20","0.99","340","55","0","0","54.45"
"1","4","20","0.99","341","55","0","0","54.45"
"1","4","20","0.99","342","55","0","0","54.45"
"1","4","20","0.99","343","55","0","0","54.45"
"1","4","20","0.99","344","55","0","0","54.45"
"1","4","20","0.99","345","55","0","0","54.45"
"1","4","20","0.99","346","55","0","0","54.45"
"1","4","20","0.99","347","55","0","0","54.45"
"1","4","20","0.99","348","55","0","0","54.45"
"1","4","20","0.99","349","56","0","0","55.44"
"1","4","20","0.99","350","56","0","0","55.44"
"1","4","20","0.99","351","56","0","0","55.44"
"1","4","20","0.99","352","56","0","0","55.44"
"1","4","20","0.99","353","56","0","0","55.44"
"1","4","20","0.99","354","56","0","0","55.44"
"1","4","20","0.99","355","56","0","0","55.44"
"1","4","20","0.99","356","57","0","0","56.43"
"1","4","20","0.99","357","58","0","0","57.42"
"1","4","20","0.99","358","58","0","0","57.42"
"1","4","20","0.99","359","58","0","0","57.42"
"1","4","20","0.99","360","58","0","0","57.42"
"1","4","20","0.99","361","58","0","0","57.42"
"1","4","20","0.99","362","58","0","0","57.42"
"1","4","20","0.99","363","58","0","0","57.42"
"1","4","20","0.99","364","58","0","0","57.42"
"1","4","20","0.99","365","58","0","0","57.42"
"1","4","20","0.99","366","58","0","0","57.42"
"1","4","20","0.99","367","58","0","0","57.42"
"1","4","20","0.99","368","58","0","0","57.42"
"1","4","20","0.99","369","58","0","0","57.42"
"1","4","20","0.99","370","59","0","0","58.41"
"1","4","20","0.99","371","59","0","0","58.41"
"1","4","20","0.99","372","59","0","0","58.41"
"1","4","20","0.99","373","59","0","0","58.41"
"1","4","20","0.99","374","61","0","0","60.39"
"1","4","20","0.99","375","61","0","0","60.39"
"1","4","20","0.99","376","61","0","0","60.39"
"1","4","20","0.99","377","61","0","0","60.39"
"1","4","20","0.99","378","61","0","0","60.39"
"1","4","20","0.99","379","61","0","0","60.39"
"1","4","20","0.99","380","61","0","0","60.39"
"1","4","20","0.99","381","62","0","0","61.38"
"1","4","20","0.99","382","62","0","0","61.38"
"1","4","20","0.99","383","62","0","0","61.38"
"1","4","20","0.99","384","62","0","0","61.38"
"1","4","20","0.99","385","62","0","0","61.38"
"1","4","20","0.99","386","62","0","0","61.38"
"1","4","20","0.99","387","62","0","0","61.38"
"1","4","20","0.99","388","62","0","0","61.38"
"1","4","20","0.99","389","62","0","0","61.38"
"1","4","20","0.99","390","62","0","0","61.38"
"1","4","20","0.99","391","62","0","0","61.38"
"1","4","20","0.99","392","62","0","0","61.38"
"1","4","20","0.99","393","62","0","0","61.38"
"1","4","20","0.99","394","62","0","0","61.38"
"1","4","20","0.99","395","62","0","0","61.38"
"1","4","20","0.99","396","62","0","0","61.38"
"1","4","20","0.99","397","62","0","0","61.38"
"1","4","20","0.99","398","63","0","0","62.37"
"1","4","20","0.99","399","64","0","0","63.36"
"1","4","20","0.99","400","64","0","0","63.36"
"1","4","20","0.99","401","64","0","0","63.36"
"1","4","20","0.99","402","64","0","0","63.36"
"1","4","20","0.99","403","64","0","0","63.36"
"1","4","20","0.99","404","64","0","0","63.36"
"1","4","20","0.99","405","64","0","0","63.36"
"1","4","20","0.99","406","64","0","0","63.36"
"1","4","20","0.99","407","65","0","0","64.35"
"1","4","20","0.99","408","65","0","0","64.35"
"1","4","20","0.99","409","66","0","0","65.34"
"1","4","20","0.99","410","66","0","0","65.34"
"1","4","20","0.99","411","66","0","0","65.34"
"1","4","20","0.99","412","66","0","0","65.34"
"1","4","20","0.99","413","66","0","0","65.34"
"1","4","20","0.99","414","66","0","0","65.34"
"1","4","20","0.99","415","66","0","0","65.34"
"1","4","20","0.99","416","66","0","0","65.34"
"1","4","20","0.99","417","66","0","0","65.34"
"1","4","20","0.99","418","66","0","0","65.34"
"1","4","20","0.99","419","66","0","0","65.34"
"1","4","20","0.99","420","66","0","0","65.34"
"1","4","20","0.99","421","66","0","0","65.34"
"1","4","20","0.99","422","66","0","0","65.34"
"1","4","20","0.99","423","66","0","0","65.34"
"1","4","20","0.99","424","66","0","0","65.34"
"1","4","20","0.99","425","66","0","0","65.34"
"1","4","20","0.99","426","66","0","0","65.34"
"1","4","20","0.99","427","66","0","0","65.34"
"1","4","20","0.99","428","66","0","0","65.34"
"1","4","20","0.99","429","66","0","0","65.34"
"1","4","20","0.99","430","66","0","0","65.34"
"1","4","20","0.99","431","66","0","0","65.34"
"1","4","20","0.99","432","66","0","0","65.34"
"1","4","20","0.99","433","66","0","0","65.34"
"1","4","20","0.99","434","66","0","0","65.34"
"1","4","20","0.99","435","66","0","0","65.34"
"1","4","20","0.99","436","66","0","0","65.34"
"1","4","20","0.99","437","66","0","0","65.34"
"1","4","20","0.99","438","66","0","0","65.34"
"1","4","20","0.99","439","66","0","0","65.34"
"1","4","20","0.99","440","66","0","0","65.34"
"1","4","20","0.99","441","66","0","0","65.34"
"1","4","20","0.99","442","66","0","0","65.34"
"1","4","20","0.99","443","68","0","0","67.32"
"1","4","20","0.99","444","71","0","0","70.29"
"1","4","20","0.99","445","87","0","0","86.13"
"1","4","20","0.99","446","101","0","0","99.99"
"1","4","20","0.99","447","114","0","0","112.86"
"1","4","20","0.99","448","123","0","0","121.77"
"1","4","20","0.99","449","127","0","0","125.73"
"1","4","20","0.99","450","127","0","0","125.73"
"1","4","20","0.99","451","127","0","0","125.73"
"1","4","20","0.99","452","127","0","0","125.73"
"1","4","20","0.99","453","127","0","0","125.73"
"1","4","20","0.99","454","127","0","0","125.73"
"1","4","20","0.99","455","128","0","0","126.72"
"1","4","20","0.99","456","128","0","0","126.72"
"1","4","20","0.99","457","128","0","0","126.72"
"1","4","20","0.99","458","128","0","0","126.72"
"1","4","20","0.99","459","128","0","0","126.72"
"1","4","20","0.99","460","128","0","0","126.72"
"1","4","20","0.99","461","128","0","0","126.72"
"1","4","20","0.99","462","128","0","0","126.72"
"1","4","20","0.99","463","128","0","0","126.72"
"1","4","20","0.99","464","128","0","0","126.72"
"1","4","20","0.99","465","128","0","0","126.72"
"1","4","20","0.99","466","128","0","0","126.72"
"1","4","20","0.99","467","128","0","0","126.72"
"1","4","20","0.99","468","128","0","0","126.72"
"1","4","20","0.99","469","128","0","0","126.72"
"1","4","20","0.99","470","128","0","0","126.72"
"1","4","20","0.99","471","128","0","0","126.72"
"1","4","20","0.99","472","129","0","0","127.71"
"1","4","20","0.99","473","129","0","0","127.71"
"1","4","20","0.99","474","129","0","0","127.71"
"1","4","20","0.99","475","129","0","0","127.71"
"1","4","20","0.99","476","129","0","0","127.71"
"1","4","20","0.99","477","129","0","0","127.71"
"1","4","20","0.99","478","129","0","0","127.71"
"1","4","20","0.99","479","129","0","0","127.71"
"1","4","20","0.99","480","129","0","0","127.71"
"1","4","20","0.99","481","129","0","0","127.71"
"1","4","20","0.99","482","129","0","0","127.71"
"1","4","20","0.99","483","129","0","0","127.71"
"1","4","20","0.99","484","129","0","0","127.71"
"1","4","20","0.99","485","129","0","0","127.71"
"1","4","20","0.99","486","129","0","0","127.71"
"1","4","20","0.99","487","129","0","0","127.71"
"1","4","20","0.99","488","129","0","0","127.71"
"1","4","20","0.99","489","129","0","0","127.71"
"1","4","20","0.99","490","129","0","0","127.71"
"1","4","20","0.99","491","129","0","0","127.71"
"1","4","20","0.99","492","130","0","0","128.7"
"1","4","20","0.99","493","130","0","0","128.7"
"1","4","20","0.99","494","130","0","0","128.7"
"1","4","20","0.99","495","130","0","0","128.7"
"1","4","20","0.99","496","130","0","0","128.7"
"1","4","20","0.99","497","130","0","0","128.7"
"1","4","20","0.99","498","130","0","0","128.7"
"1","4","20","0.99","499","130","0","0","128.7"
"1","4","20","0.99","500","130","0","0","128.7"
"1","4","20","0.99","501","130","0","0","128.7"
"1","4","20","0.99","502","130","0","0","128.7"
"1","4","20","0.99","503","130","0","0","128.7"
"1","4","20","0.99","504","130","0","0","128.7"
"1","4","20","0.99","505","130","0","0","128.7"
"1","4","20","0.99","506","130","0","0","128.7"
"1","4","20","0.99","507","130","0","0","128.7"
"1","4","20","0.99","508","130","0","0","128.7"
"1","4","20","0.99","509","130","0","0","128.7"
"1","4","20","0.99","510","130","0","0","128.7"
"1","4","20","0.99","511","130","0","0","128.7"
"1","4","20","0.99","512","130","0","0","128.7"
"1","4","20","0.99","513","130","0","0","128.7"
"1","4","20","0.99","514","130","0","0","128.7"
"1","4","20","0.99","515","130","0","0","128.7"
"1","4","20","0.99","516","130","0","0","128.7"
"1","4","20","0.99","517","130","0","0","128.7"
"1","4","20","0.99","518","130","0","0","128.7"
"1","4","20","0.99","519","130","0","0","128.7"
"1","4","20","0.99","520","130","0","0","128.7"
"1","4","20","0.99","521","130","0","0","128.7"
"1","4","20","0.99","522","130","0","0","128.7"
